UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	12
1	45
0	0
0	0
0	0
0	0
0	14
15	16
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	23
0	14
0	0
1	0
0	7
0	292
0	51
0	0
1	0
1	450
0	253
21	377
0	108
0	257
41	210
0	195
0	100
10	10
0	0
0	400
750	649
0	403
0	269
0	208
2	549
1	315
64	161
0	432
76	2203
9	2121
0	19
0	0
0	6
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	1
11	131
0	0
0	1140
8	1483
22	337
31	1115
5	214
0	168
2	1357
0	429
0	0
269	1005
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	83
0	3
0	0
0	0
17	63
61	48
0	4
0	24
1	52
0	86
16	1163
1	58
0	31
0	423
0	1028
12	159
0	481
14	14
1	129
2	16
2	60
0	194
50	35
2	243
0	0
0	71
0	0
0	93
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3510
0	0
0	0
0	0
0	0
1	0
196	1122
0	140
0	19
0	782
0	281
6	90
15	1076
3	1077
0	10
99	100
0	257
0	0
0	0
0	0
5	2
0	0
0	0
1	0
0	0
1	50
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	50
0	65
0	0
0	0
0	0
0	193
0	2094
0	0
0	0
0	0
0	257
0	0
0	0
0	0
0	66
0	0
0	0
0	0
0	0
608	96
2	32
1	31
0	2
0	2
0	24
20	3
0	2
5	4
0	3
0	2
0	4859
0	2
0	0
46	54
0	54
0	6
1	6
0	17
1875	160
0	285
0	74
0	2
0	2
0	125
0	0
0	125
0	125
15	1647
2	1652
1	1699
14	36
0	1349
5	1461
0	1639
0	77
0	232
0	1427
53	242
78	261
0	54
0	0
4	77
0	111
0	102
0	88
0	89
0	121
0	91
0	98
0	64
0	79
0	112
0	68
0	79
0	103
0	16
0	86
0	69
0	89
0	101
0	35
0	98
0	100
0	75
8	12
0	347
0	15
1	19
0	12
0	332
0	1
18	54
0	43
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	43
0	0
9	832
1	438
3	607
0	327
33	564
0	254
6	189
1	0
1	7
62	330
17	16
0	16
0	56
0	11
0	61
5	58
0	14
0	54
0	13
0	13
0	297
0	21
69	7
0	39
2	17
0	39
0	29
0	8
0	9
0	91
7	12
5	18
1	22
0	59
0	0
935	1969
0	232
1	244
8	194
2	59
6	1248
1	101
0	220
1	0
5	0
0	0
0	0
9	521
