symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensgene
STAM,533.3314743317396,-0.2547888096176769,0.1524683811978018,-1.6710927709472547,0.0947033550481026,0.6319246084328757,ENSG00000136738
BAK1,1305.9286014049399,0.07867758872549149,0.1269210380336001,0.6198939903458951,0.5353275825871405,0.9328397423747092,ENSG00000030110
WDR11,1195.4334275902042,-0.15669472651386088,0.15338002475306944,-1.0216110394174722,0.30696503066108505,0.8460002897454046,ENSG00000120008
ZKSCAN8,344.73108598171586,-0.09263673303157093,0.1798428648089415,-0.5150981837949746,0.6064844118054091,0.9524802970878637,ENSG00000198315
GJB3,1411.4730571985124,0.37057860718738134,0.13085456752948652,2.8319883224853872,0.004625953805174613,0.13390874642215458,ENSG00000188910
NATD1,200.51383016373134,-0.02340545424886011,0.20469967062951702,-0.11434045876517947,0.9089679113331203,0.9905307973312546,ENSG00000274180
FUT6,44.63431878787374,0.28020669827422817,0.46438861497480355,0.6033883890315257,0.5462503445679462,0.9361905988306499,ENSG00000156413
ROGDI,696.4474630247354,0.15776698650003887,0.166057951773948,0.9500718563288346,0.3420757423609583,0.8708327301133381,ENSG00000067836
RTP4,28.293535634246705,0.2093582417440741,0.479080516068609,0.4370001173541609,0.6621112629306003,0.9644531946128169,ENSG00000136514
MTFR2,32.438159429895286,-0.22532717580105147,0.49987374347686575,-0.45076817644749856,0.6521566397120984,0.9617162582604459,ENSG00000146410
DAPK2,42.00448174032498,-0.7401223455300593,0.5901023838484357,-1.2542270049872486,0.2097595069181701,0.7823852734354348,ENSG00000035664
ZMAT5,114.30432885191391,0.0736245281154419,0.27491719137664494,0.26780619919317467,0.788848498709919,0.9806996174958387,ENSG00000100319
DNAAF4,115.87911758366353,-0.5052370911779863,0.41538944264558325,-1.216297380983422,0.22387165885491753,0.7941879709166332,ENSG00000256061
RBM8A,3273.8764378180736,0.04816865238425946,0.1238487915577389,0.388931145620448,0.6973270816433534,0.9695155030659852,ENSG00000265241
RBM38,234.18446211439166,0.12860217896295753,0.33127832441745747,0.3881997990333368,0.6978681818789512,0.9695155030659852,ENSG00000132819
OSGIN2,259.79431287172724,-0.27012856365934385,0.276652627087907,-0.9764178511614491,0.32885743882629226,0.8623234621555971,ENSG00000164823
FOSL2,3572.2908434686788,0.11337602115258516,0.12524927529351934,0.9052030112500896,0.3653578468902581,0.8803673401722559,ENSG00000075426
TP53BP1,1735.9181792994968,-0.13491260844558559,0.19271887284055675,-0.7000487625163916,0.48389685239079433,0.9175362113049811,ENSG00000067369
ZNF273,48.461660526987785,-0.5219654855196806,0.41527495365270584,-1.2569154025026994,0.20878427054753415,0.7812161593882877,ENSG00000198039
SPTY2D1OS,9.977065632923296,-0.09671476693779568,0.8857797307680076,-0.10918602399485929,0.9130549452680545,0.9909842377539502,ENSG00000247595
TCN1,197.75926052642507,-0.7195039576706472,0.2379675207737333,-3.0235384868121282,0.002498372481106251,0.09177500019372113,ENSG00000134827
UBR1,698.2990625480983,-0.004193649657327207,0.19216934336752425,-0.02182267776867429,0.9825894042498354,0.998062614404524,ENSG00000159459
CDCP1,4128.172248514584,0.3859944281080179,0.10895088193784783,3.5428297710174794,3.958581418563094e-4,0.024523180842390278,ENSG00000163814
DCAF16,301.9828967708443,0.10833056339166443,0.24099386405364367,0.44951585724834364,0.6530595716237108,0.9621607900257384,ENSG00000163257
ICE2,366.63252775183946,-0.2566170422971712,0.23359790824165658,-1.0985416959800058,0.2719680209759722,0.8253562918592575,ENSG00000128915
IL10RB,198.07379795442358,-0.0878269035253448,0.22213427246792508,-0.3953775459751556,0.6925642777066487,0.9682836217146016,ENSG00000243646
SAPCD2,34.93402353059068,0.01243047574486832,0.44109399010180866,0.02818101362478153,0.9775177801427168,0.9972485311836597,ENSG00000186193
WNT7B,346.2152351741442,-0.2018307758265841,0.21095563244330692,-0.9567451387240155,0.3386959088573303,0.8682601470805286,ENSG00000188064
TBC1D3B,70.02345159342066,-0.1900528399731404,0.31590329235461095,-0.6016171549101818,0.5474290070623595,0.9363576731241755,ENSG00000274808
USP20,244.2364740945076,-0.11448815924150656,0.27834571971827776,-0.4113163994667622,0.6808405460023276,0.9670118746276121,ENSG00000136878
ZNF600,310.5851406291547,-0.32748109396873265,0.27896600812682326,-1.1739103848804888,0.2404309223953081,0.8051602133743845,ENSG00000189190
ST13,5158.292990057305,0.08068572975748992,0.1359887265262208,0.5933266074223618,0.5529625953976979,0.9371638792129814,ENSG00000100380
PAQR3,142.21918003700253,-0.1880179327182947,0.2641042375862543,-0.7119080497786014,0.4765217170835029,0.9155383104461579,ENSG00000163291
CPLANE2,21.2803574098151,-1.0352333173237498,0.5938491054384456,-1.7432598750139148,0.0812882308708047,0.5988847402564005,ENSG00000132881
FADS1,3198.39151958064,-0.005126792768532061,0.11033367767554973,-0.046466254697029585,0.9629386298718188,0.996295967656752,ENSG00000149485
NECAP1,662.6970921088501,0.008878812311565017,0.1619158041293675,0.05483598317846121,0.9562691330868108,0.9957983431143382,ENSG00000089818
KPNA3,654.67813235802,-0.15368367138970165,0.18414403127136728,-0.8345840499343845,0.4039519457518811,0.8944810748700556,ENSG00000102753
CXCL10,14.73492780909671,1.2275689131031227,0.6955638163506671,1.764854473804667,0.0775882267294536,0.5858375711722243,ENSG00000169245
ENC1,2285.680091600068,-0.28252946862627554,0.1515298891499256,-1.8645131347435837,0.06224967879089112,0.5377310346477725,ENSG00000171617
