SampleName	Class
SRR7457551	Allo24h
SRR7457552	Allo24h
SRR7457553	Allo2h
SRR7457554	Allo2h
SRR7457555	Allo2h
SRR7457556	Allo2h
SRR7457557	Naive
SRR7457558	Naive
SRR7457559	Naive
SRR7457560	Naive
SRR7457561	Allo24h
SRR7457562	Allo24h
